wwExp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2015,'860721000',601,  ,KG,0,32,211,0,32,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860729000',103,  ,KG,0,794,3128,0,0,0,0,736,2881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,247,0,0,0
2,2015,'860729000',105,  ,KG,0,57414,21117,0,504,236,0,3305,1249,0,5863,1669,0,4634,1637,0,4418,2851,0,6459,2082,0,5174,1867,0,4368,1404,0,7798,3044,0,5575,2322,0,8601,2229,0,715,527
2,2015,'860729000',106,  ,KG,0,556,1380,0,0,0,0,0,0,0,60,848,0,0,0,0,0,0,0,0,0,0,0,0,0,207,213,0,289,319,0,0,0,0,0,0,0,0,0
2,2015,'860729000',111,  ,KG,0,4044,5944,0,0,0,0,230,323,0,235,386,0,709,1042,0,387,526,0,243,395,0,0,0,0,344,508,0,243,395,0,522,861,0,699,1009,0,432,499
2,2015,'860729000',203,  ,KG,0,282,2415,0,0,0,0,0,0,0,75,669,0,0,0,0,181,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,26,290,0,0,0,0,0,0
2,2015,'860729000',205,  ,KG,0,1321,3937,0,0,0,0,0,0,0,0,0,0,0,0,0,19,278,0,16,358,0,40,900,0,1246,2401,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860729000',213,  ,KG,0,1006,16434,0,0,0,0,384,8723,0,31,626,0,210,1652,0,50,993,0,19,260,0,0,0,0,0,0,0,0,0,0,245,1837,0,32,1901,0,35,442
2,2015,'860729000',215,  ,KG,0,40,688,0,0,0,0,0,0,0,0,0,0,0,0,0,40,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860729000',220,  ,KG,0,3420,10372,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3420,10151,0,0,0
2,2015,'860729000',304,  ,KG,0,621,13529,0,0,0,0,0,0,0,0,0,0,60,2898,0,0,0,0,0,0,0,0,0,0,280,2782,0,0,0,0,170,5416,0,30,999,0,81,1434
2,2015,'860730000',105,  ,KG,0,11427,5779,0,315,362,0,2400,1036,0,2250,1058,0,5800,2785,0,0,0,0,0,0,0,331,271,0,0,0,0,331,267,0,0,0,0,0,0,0,0,0
2,2015,'860730000',106,  ,KG,0,199463,286136,0,23594,37538,0,27068,34913,0,19498,27610,0,10158,15841,0,10489,13421,0,5350,11342,0,21076,29083,0,24108,31168,0,12428,15985,0,15450,24315,0,25286,34630,0,4958,10290
2,2015,'860730000',203,  ,KG,0,12468,58326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6905,34089,0,5563,24237,0,0,0,0,0,0,0,0,0
2,2015,'860730000',205,  ,KG,0,2724,41440,0,99,433,0,144,591,0,392,10730,0,395,10731,0,416,2435,0,0,0,0,0,0,0,0,0,0,389,10659,0,889,5861,0,0,0,0,0,0
2,2015,'860730000',210,  ,KG,0,441,3511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,3511
2,2015,'860730000',213,  ,KG,0,88140,609345,0,753,2608,0,668,1976,0,3317,50114,0,3012,17197,0,6842,28886,0,3574,19899,0,6503,50083,0,7913,60139,0,14388,103887,0,27686,203900,0,5430,32014,0,8054,38642
2,2015,'860730000',215,  ,KG,0,2,467,0,0,0,0,2,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860730000',245,  ,KG,0,338,1615,0,0,0,0,0,0,0,201,848,0,77,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,349,0,0,0
2,2015,'860730000',304,  ,KG,0,4929,17401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4929,17401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860791000',103,  ,KG,0,40,2932,0,0,0,0,0,0,0,40,2932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860791000',105,  ,KG,0,10984,48166,0,235,1260,0,240,1463,0,130,800,0,396,1242,0,1241,8700,0,510,2724,0,165,1162,0,924,2912,0,665,3539,0,3245,10718,0,1954,7210,0,1279,6436
2,2015,'860791000',205,  ,KG,0,15318,82484,0,0,0,0,0,0,0,720,5055,0,0,0,0,0,0,0,0,0,0,1616,9343,0,0,0,0,5710,27945,0,2424,13212,0,3232,17942,0,1616,8987
