Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2020,'060210000',103,  ,NO,0,30000,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,1949,0,0,0,0,0,0
2,2020,'060210000',105,  ,NO,0,118339092,572819,0,13088000,63109,0,11532000,55702,0,16944000,81799,0,14604000,70570,0,5506450,27204,0,7598202,37291,0,6658440,32423,0,8812000,42515,0,9260000,44728,0,6340000,30651,0,10512000,50735,0,7484000,36092
2,2020,'060210000',110,  ,NO,0,68843594,338319,0,5861830,26614,0,4420775,23522,0,5361424,30673,0,5506310,33069,0,5049680,29438,0,4409330,22457,0,5739280,28608,0,8747460,36273,0,7967610,35273,0,5513700,26321,0,4818185,21920,0,5448010,24151
2,2020,'060210000',111,  ,NO,0,12935,3130,0,0,0,0,5740,1534,0,7195,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060210000',117,  ,NO,0,168750,2433,0,0,0,0,0,0,0,0,0,0,28350,375,0,40300,508,0,0,0,0,15800,223,0,17050,217,0,20350,499,0,0,0,0,23650,310,0,23250,301
2,2020,'060210000',118,  ,NO,0,24520240,96089,0,2264400,8828,0,1359900,5302,0,1306400,5094,0,1108200,4367,0,1176400,4586,0,1052700,4103,0,1580700,6232,0,3322900,12958,0,3259400,13009,0,3242900,12714,0,2832000,11042,0,2014340,7854
2,2020,'060210000',125,  ,NO,0,6737448,50998,0,559793,3586,0,788610,5479,0,1034768,7211,0,421360,4505,0,904560,8815,0,805011,6502,0,520230,3738,0,279555,2296,0,248535,1643,0,344120,2123,0,516860,3164,0,314046,1936
2,2020,'060210000',143,  ,NO,0,246168,10858,0,59400,1627,0,14805,691,0,0,0,0,5940,955,0,9500,222,0,80523,4618,0,0,0,0,0,0,0,19200,1058,0,11000,437,0,13300,411,0,32500,839
2,2020,'060210000',204,  ,NO,0,28750,647,0,0,0,0,0,0,0,7250,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21500,216,0,0,0
2,2020,'060210000',207,  ,NO,0,246730,7515,0,70000,443,0,16780,543,0,19100,852,0,54000,1989,0,21000,753,0,0,0,0,5200,248,0,0,0,0,0,0,0,12800,524,0,8200,374,0,39650,1789
2,2020,'060210000',210,  ,NO,0,10500,240,0,0,0,0,10500,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060210000',213,  ,NO,0,45295,2289,0,0,0,0,17600,608,0,16370,719,0,0,0,0,5400,220,0,3600,459,0,2325,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060210000',217,  ,NO,0,5800,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5800,286
2,2020,'060210000',218,  ,NO,0,90090,2074,0,0,0,0,0,0,0,0,0,0,440,219,0,89650,1855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060210000',220,  ,NO,0,189982,15067,0,0,0,0,20900,420,0,9200,210,0,0,0,0,124082,12858,0,31200,836,0,0,0,0,0,0,0,4600,743,0,0,0,0,0,0,0,0,0
2,2020,'060210000',304,  ,NO,0,531050,11739,0,124000,4813,0,0,0,0,0,0,0,2550,313,0,100000,1192,0,239700,2745,0,1300,341,0,0,0,0,0,0,0,0,0,0,63500,2335,0,0,0
2,2020,'060210000',305,  ,NO,0,47300,936,0,7700,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14400,232,0,25200,497
2,2020,'060210000',306,  ,NO,0,68200,2763,0,22400,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15800,1018,0,5800,372,0,24200,701
2,2020,'060210000',309,  ,NO,0,21350,500,0,2350,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,292
2,2020,'060210000',310,  ,NO,0,1271000,33770,0,175400,3761,0,342900,6550,0,207100,3923,0,74500,1373,0,0,0,0,32900,858,0,0,0,0,0,0,0,20100,614,0,266100,11357,0,99100,3898,0,52900,1436
2,2020,'060210000',311,  ,NO,0,596040,6995,0,56950,720,0,193900,2229,0,189940,2102,0,15000,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35700,468,0,104550,1253
2,2020,'060210000',401,  ,NO,0,1751039,23705,0,99548,1298,0,100826,1409,0,112380,1266,0,112282,1355,0,242594,4282,0,140072,2184,0,117579,1409,0,112207,1259,0,161632,1865,0,178764,1884,0,197561,2761,0,175594,2733
2,2020,'060210000',410,  ,NO,0,131370,3175,0,0,0,0,0,0,0,0,0,0,0,0,0,58810,1403,0,72560,1772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060210000',538,  ,NO,0,24570004,86433,0,1731852,7113,0,1547050,5314,0,1984489,6267,0,2180914,6843,0,1707812,5254,0,2074609,6559,0,1995285,6745,0,2985803,10762,0,3108531,11024,0,1641045,6696,0,1840158,7125,0,1772456,6731
2,2020,'060210000',541,  ,NO,0,9448197,221212,0,1109194,26406,0,984255,25907,0,901234,21456,0,770812,14031,0,752815,14993,0,366805,8593,0,327045,8681,0,260872,6184,0,677160,19932,0,1321929,30199,0,1171266,25748,0,804810,19082
2,2020,'060210000',542,  ,NO,0,907050,38777,0,9800,214,0,49900,4257,0,78300,5491,0,65200,6695,0,138550,6106,0,99300,2294,0,45700,1449,0,40400,1081,0,56500,1747,0,94200,2835,0,133200,4009,0,96000,2599
2,2020,'060210000',543,  ,NO,0,2311700,19962,0,433500,1737,0,434850,3843,0,388350,1593,0,338000,5744,0,215000,1035,0,383150,1352,0,0,0,0,35450,3421,0,0,0,0,29500,435,0,28400,419,0,25500,383
2,2020,'060210000',549,  ,NO,0,50800,1267,0,0,0,0,0,0,0,0,0,0,32000,486,0,0,0,0,0,0,0,0,0,0,13900,536,0,0,0,0,4900,245,0,0,0,0,0,0
2,2020,'060210000',601,  ,NO,0,261,1220,0,0,0,0,261,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060220000',105,  ,NO,0,4285,378,0,4285,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060220000',106,  ,NO,0,5238,4947,0,0,0,0,0,0,0,5026,888,0,53,1914,0,0,0,0,82,1113,0,0,0,0,0,0,0,0,0,0,77,1032,0,0,0,0,0,0
2,2020,'060220000',124,  ,NO,0,86,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1230
2,2020,'060220000',143,  ,NO,0,1000,2410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,2410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
